entry_time,exit_time,symbol,direction,quantity,entry_price,exit_price,pnl,exit_reason,commission,slippage
2019-12-04 14:00:00,2019-12-06 09:30:00,SPY,BUY,1,312.03,314.64,0.5786665000000136,TIME,2.0,0.0313335
2019-12-12 14:00:00,2019-12-13 10:00:00,SPY,BUY,1,316.71,316.55,-2.191662999999968,TakeProfit,2.0,0.031663
2019-12-16 09:30:00,2019-12-17 11:00:00,SPY,BUY,1,319.4,319.91,-1.5219654999999523,TIME,2.0,0.031965499999999994
2020-01-03 09:30:00,2020-01-03 09:30:00,SPY,SELL,1,322.75,322.75,-2.032275,TakeProfit,2.0,0.032275
2020-01-03 11:00:00,2020-01-06 09:30:00,SPY,BUY,1,323.14,321.6,-3.5722369999999635,StopLoss,2.0,0.032237
2020-01-06 13:00:00,2020-01-07 15:00:00,SPY,BUY,1,322.75,322.76,-2.022275500000009,TIME,2.0,0.0322755
2020-01-24 13:00:00,2020-01-27 09:30:00,SPY,SELL,1,328.46,324.49,1.9373524999999705,TakeProfit,2.0,0.0326475
2020-01-27 12:00:00,2020-01-28 10:00:00,SPY,BUY,1,324.69,326.86,0.13742250000001593,TakeProfit,2.0,0.032577499999999995
2020-01-28 11:00:00,2020-01-29 13:00:00,SPY,BUY,1,327.21,328.04,-1.202762499999959,TIME,2.0,0.0327625
2020-01-29 15:00:00,2020-01-30 09:30:00,SPY,SELL,1,326.62,325.19,-0.6025904999999931,TakeProfit,2.0,0.032590499999999994
2020-01-30 10:00:00,2020-01-30 10:00:00,SPY,SELL,1,323.72,323.72,-2.032372,StopLoss,2.0,0.032372000000000005
2020-01-30 14:00:00,2020-01-30 15:00:00,SPY,BUY,1,325.88,327.66,-0.25267699999997045,TakeProfit,2.0,0.032677
2020-01-31 10:00:00,2020-01-31 13:00:00,SPY,SELL,1,323.95,322.47,-0.5523210000000387,TakeProfit,2.0,0.032321
2020-02-03 09:30:00,2020-02-04 09:30:00,SPY,BUY,1,325.16,328.73,1.537305499999993,TakeProfit,2.0,0.03269450000000001
